,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
1850,8543,Kangal,KANGAL,kangal,4,2021-02-22T00:00:00.000Z,"['memes', 'bnb-chain']",100000000000.0,100000000000.0,100000000000.0,,1851,,,,2022-07-16T22:07:00.000Z,2.8293558949645836e-06,0.0,-100.0,2.1648571,0.46635984,1.46414452,16.18750067,-23.86675226,-65.76700167,282935.58949645836,0.0,282935.59,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x6e765d26388a17a6e86c49a8e41df3f58abcd337
1851,9982,DINGO TOKEN,DINGO,dingo-token,3,2021-05-20T00:00:00.000Z,['bnb-chain'],1000000000000000.0,165189454234794.4,1000000000000000.0,,1853,,,,2022-07-16T22:06:00.000Z,1.707420266804303e-09,4331.09308787,-37.0154,-0.79893032,-7.96778512,24.56764868,217.69695201,271.6769078,72.93246011,282047.82202282985,0.0,1707420.27,,2022-07-16T22:06:00.000Z,1839.0,BNB,BNB,bnb,0x397E6d4fd68A9E25e93fC712B8F72F826f48a8ff
1852,8643,Shadows,DOWS,shadows,9,2021-03-03T00:00:00.000Z,"['defi', 'derivatives', 'substrate', 'polkadot', 'polkadot-ecosystem', 'duckstarter', 'bnb-chain']",,26500000.0,39500000.0,,1854,,,,2022-07-16T22:07:00.000Z,0.010594219933493328,16355.46621295,-33.8662,-0.05791459,-0.96220125,11.85243682,28.36304525,-28.74975962,-69.97804658,280746.8282375732,0.0,418471.69,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x661ab0ed68000491d98c796146bcf28c20d7c559
1853,6997,SakeToken,SAKE,sake-token,8,2020-09-11T00:00:00.000Z,"['decentralized-exchange', 'defi', 'derivatives', 'amm', 'bnb-chain']",,101862352.09335795,136278605.52495152,,1855,,,,2022-07-16T22:07:00.000Z,0.0027523114788734508,42827.74162424,7.161,0.01334319,8.73814085,4.89899103,-4.67128114,-18.03995572,-67.1933982,280356.9209315982,0.0,375081.17,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x066798d9ef0833ccc719076dab77199ecbd178b0
1854,9095,Relite Finance,RELI,relite-finance,3,2021-05-17T00:00:00.000Z,"['exnetwork-capital-portfolio', 'bnb-chain']",182000000.0,69504430.39683904,71000000.0,,1856,,,,2022-07-16T22:07:00.000Z,0.0040111338200212645,173.9387853,0.0,-0.02987504,10.25340342,-1.39003008,12.31378846,-20.88888414,-51.64306126,278791.57140607503,0.0,730026.36,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x0e58ed58e150dba5fd8e5d4a49f54c7e1e880124
1855,2584,Debitum,DEB,debitum-network,2,2018-03-13T00:00:00.000Z,"['asset-management', 'crowdfunding']",,199645716.217946,400000000.0,,1857,,,,2022-07-16T22:07:00.000Z,0.0013946321834302502,88472.20975049,6.4301,0.7880191,7.12418083,6.74735651,-32.25336855,-56.63368401,-71.09896693,278432.3411215301,0.0,557852.87,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x151202c9c18e495656f372281f493eb7698961d5
1856,3639,PlayGame,PXG,playgame,1,2018-12-18T00:00:00.000Z,[],,999875000.0,1000000000.0,,1858,,,,2022-07-16T22:06:00.000Z,0.00027793735605646813,6587.74461062,-88.7107,0.72027684,2.59135127,-5.09525042,-7.24813834,-0.63234295,-47.67145082,277902.6138869611,0.0,277937.36,,2022-07-16T22:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0x47e67ba66b0699500f18a53f94e2b9db3d47437e
1857,3779,CoTrader,COT,cotrader,7,2019-03-07T00:00:00.000Z,['bnb-chain'],,18886520618.311684,20000000000.0,,1860,18886520618.0,276939.92503073416,,2022-07-16T22:06:00.000Z,1.4663363921398716e-05,299.03200264,549.3305,0.61752107,15.37425574,15.85058687,31.48212487,-41.66832927,-72.96140612,276939.9250353045,0.0,293267.28,,2022-07-16T22:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0x5c872500c00565505f3624ab435c222e558e9ff8
1858,4520,Decentralized Vulnerability Platform,DVP,decentralized-vulnerability-platform,4,2019-09-11T00:00:00.000Z,[],,522405821.0,5000000000.0,,1861,,,,2022-07-16T22:07:00.000Z,0.0005291596215071797,19981.98098348,-31.7794,-0.5268968,1.25973232,0.29437779,5.95330403,-11.24311881,-62.59559809,276436.06651350745,0.0,2645798.11,,2022-07-16T22:07:00.000Z,1027.0,Ethereum,ETH,ethereum,0x8e30ea2329d95802fd804f4291220b0e2f579812
1859,12604,FRAKT Token,FRKT,frakt-token,2,2021-10-11T06:35:11.000Z,[],,4727287.0,50000000.0,,1859,,,,2022-07-16T22:07:00.000Z,0.05838008065814774,908.95911237,-60.7965,-0.32609258,-1.08239406,16.35016099,37.00143168,1.40978936,-44.96727983,275979.39635421324,0.0,2919004.03,,2022-07-16T22:07:00.000Z,5426.0,Solana,SOL,solana,ErGB9xa24Szxbk1M28u2Tx8rKPqzL6BroNkkzk5rG4zj
